time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length
1,519,159.9040799,49,241.4060349,60.13454,34.4042095,66.00504901
2,527,221.5935973,49,292.2541986,56.44687105,33.4635761,73.26149862
3,465,158.3466136,49,237.0901509,60.13454,34.42001784,50.10106239
4,518,178.4929952,49,240.6613637,58.24729674,33.96692964,61.35233672
5,471,210.8683487,49,251.9803588,60.13454,33.02288861,56.87580317
6,492,206.7086385,49,262.1884606,57.33880954,33.58890715,58.88393299
7,509,217.4069849,49,264.0046654,56.51601773,33.12142374,55.70903434
8,496,183.0187508,49,241.1274776,58.2069092,34.16436033,53.38676008
9,503,187.9629021,49,225.0007693,53.74768049,34.52732947,53.68239195
10,524,167.9217708,49,258.389058,58.64584225,33.98780345,61.02058784
11,518,157.5073471,49,234.665768,58.49610336,34.12890241,69.27538054
12,519,162.3397788,49,258.9328529,59.42443852,34.30158714,65.24894709
13,498,212.8272554,49,249.5302171,55.14762234,33.61548003,54.76689917
14,474,192.0527201,49,253.8662068,52.83049262,33.20384887,54.69165087
15,488,169.9349703,49,211.9229955,56.2595116,34.24967727,55.03263196
16,498,212.4520651,49,272.9865791,55.00574949,34.1074641,53.87806715
17,471,220.9264927,49,268.5598242,53.01693626,33.97787459,63.74694489
18,481,243.4348702,49,257.8852134,53.70398296,34.61764781,56.69556713
19,496,238.9310538,49,292.2921286,53.7547202,34.72266995,58.33160663
20,513,179.0772674,49,235.0476238,55.9520563,32.88100396,54.10515138
21,524,222.9709076,49,282.1004897,59.93924072,34.75009115,73.19376491
22,493,180.6738223,49,269.2938844,57.83048871,33.67662592,58.5909615
23,512,200.5560558,49,266.2993924,56.81014242,34.30537256,58.53427875
24,479,216.3651337,49,258.9253409,53.38132026,34.68953039,67.38172972
25,520,213.6614861,49,273.4746316,56.41412353,34.17290914,65.95990753
26,514,256.3481365,49,323.1277722,58.72898182,33.70230282,60.64215054
27,497,225.2646321,49,288.1869331,53.84115366,34.67183785,57.08894302
28,472,212.6341445,49,256.4707238,53.9858151,34.61156834,57.11790904
29,511,201.3720118,49,253.0708369,55.97567661,33.82434021,55.42941804
30,504,226.7209809,49,316.5834381,57.4983723,34.62478108,54.97309531
31,509,213.0240414,49,301.2458586,56.98215127,34.06635595,69.21896629
32,504,172.7359544,49,250.5043935,56.71819421,32.95539711,57.37131176
33,480,198.7606891,49,253.7314808,54.24255273,33.63322471,61.81158754
34,527,158.1798653,49,254.9331471,57.5623164,33.17332415,56.29223198
35,454,202.6772086,49,244.6631065,53.00292657,32.53668291,52.75687145
36,486,206.5843299,49,262.1320964,54.14714809,34.08086196,51.48195735
37,504,154.3658461,49,223.6506434,55.91800624,33.83927748,54.36840303
38,511,225.598526,49,286.7039195,54.9388361,33.66608033,64.91944715
39,523,179.8242477,49,256.4578876,56.7349646,33.58693456,64.69858734
40,515,207.402192,49,292.5876995,57.60531331,34.04654322,56.66932861
41,475,212.4635825,53,310.81408,52.75112543,40.32134,52.58474739
42,474,204.1685142,53,285.5254363,53.5761182,40.32134,53.8604005
43,497,179.4361559,53,246.5761295,54.81086566,40.32134,41.02608431
44,487,200.698747,53,254.7462681,60.13454,40.32134,50.90082877
45,491,179.9471637,53,212.4528676,60.13454,40.32134,47.8136887
46,536,253.1350314,53,283.3401189,60.13454,40.32134,55.73090041
47,519,223.7953778,53,266.1584728,59.49082124,40.32134,56.3826426
48,497,159.5314768,53,226.1626892,60.13454,40.32134,41.23665644
49,465,233.6773302,53,257.2972272,51.03323978,40.32134,50.10695997
50,497,218.468529,53,259.6063844,60.13454,40.32134,51.34779161
51,487,218.2797168,53,292.8414663,55.27580449,40.32134,58.41195683
52,476,203.9866645,53,266.6769565,53.73571556,40.32134,51.61542469
53,518,205.4944562,53,268.9350467,60.13454,40.32134,52.23556994
54,496,166.2019882,53,222.1497072,54.30699287,40.32134,38.61183332
55,505,229.3637706,53,309.9253449,54.9495686,40.32134,49.80892957
56,463,164.133215,53,258.6787343,60.13454,40.32134,39.66211356
57,489,219.9724211,53,283.1058311,60.13454,40.32134,50.3362747
58,467,176.7075142,53,231.6858535,60.13454,40.32134,47.23877686
59,476,172.8850014,53,224.7938791,60.13454,40.32134,45.0520961
60,505,192.2845405,53,250.659537,58.05253349,40.32134,43.17938866
61,506,199.2645274,57,283.5069204,58.68868643,40.32134,45.155235
62,557,193.8850921,57,260.7994893,60.36740783,40.32134,51.16783439
63,520,226.1746855,57,265.7810957,56.86403309,40.32134,44.871821
64,499,198.5380505,57,252.3369024,55.84730919,40.32134,37.497733
65,544,151.9217401,57,241.1409098,59.46051962,40.32134,43.29946958
66,498,188.1210081,57,235.7110317,54.84065474,40.32134,37.90984644
67,489,159.286282,57,225.9876069,54.54670573,40.32134,29.10679461
68,496,234.6304466,57,268.9649218,54.96802376,40.32134,46.75682472
69,472,236.2215238,57,256.696532,53.6200454,40.32134,39.81476273
70,468,204.4639299,57,243.035289,53.86684986,40.32134,39.60445123
71,485,198.6889189,57,251.4023991,57.38592019,40.32134,47.7778758
72,515,177.8373478,57,232.2734582,56.95036286,40.32134,43.54663677
73,467,210.9266159,57,245.5212667,52.15634057,40.32134,41.97709572
74,481,235.8787175,57,237.6523731,55.29518736,40.32134,47.65725383
75,503,185.2288363,57,242.4125155,55.85696516,40.32134,35.19014675
76,524,170.3850733,57,232.7452597,57.52292699,40.32134,43.04277271
77,488,153.0102799,57,217.89978,53.75888645,40.32134,30.75423625
78,486,218.8833585,57,236.5082692,54.21203474,40.32134,35.13751121
79,475,176.6889942,57,215.9505836,51.66392963,40.32134,31.27868181
80,496,168.6590743,57,217.8714564,53.38555507,40.32134,35.94812848
81,532,183.9490983,61,256.8227029,61.13428923,42.322,40.63490732
82,532,185.9623142,61,251.1962997,61.45657157,42.322,37.491949
83,501,207.5892786,61,270.2308454,55.99150652,42.322,29.00214331
84,519,246.2348597,61,302.8254877,57.34789854,42.322,31.82092046
85,492,192.3197048,61,244.0539671,55.88831829,42.322,26.2816862
86,517,233.614073,61,284.3038621,56.16507487,42.322,37.71816068
87,544,171.7182503,61,242.4307653,58.75243027,42.322,35.40546709
88,470,228.2168228,61,319.2462891,46.04478406,42.322,29.81663245
89,474,182.4259514,61,275.662321,49.32725108,42.322,21.17378355
90,506,212.7090516,61,271.7135914,55.5362167,42.322,30.62859782
