time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length,,,,
1,519,159.9040799,55,249.8432286,58.38295934,34.67795799,39.94248721,,,,
2,527,221.5935973,55,300.1031991,55.81652969,33.67126471,42.96845911,,,,
3,465,158.3466136,55,268.3637213,54.96440413,34.8482911,35.20015297,,,,
4,518,178.4929952,55,246.0889236,59.40599975,34.31616179,34.0486997,,,,
5,471,210.8683487,55,258.0042365,55.02581853,33.23389695,32.88503052,,,,
6,492,206.7086385,55,268.6717773,58.96389715,33.90381669,32.69977267,,,,302.4411724
7,509,217.4069849,55,266.1047452,57.51590386,33.35893018,27.82360528,,,,
8,496,183.0187508,55,246.7080832,59.85797485,34.5203752,28.99614978,,,,
9,503,187.9629021,55,226.711854,54.27454849,35.04762824,27.63733494,,,,
10,524,167.9217708,55,264.9078473,59.88868411,34.409386,33.03159512,,,,
11,518,157.5073471,60,249.7296783,59.6186059,34.70217502,42.87817624,,,,
12,519,162.3397788,60,278.3408355,60.72131141,34.80240171,39.06920874,,,,
13,498,212.8272554,60,307.9903592,57.2736479,34.07554151,32.30765006,,,,
14,474,192.0527201,60,301.5948643,54.32409789,33.7671456,31.67016515,,,,
15,488,169.9349703,60,240.4505207,58.44692409,34.74044057,29.83973164,,,,
16,498,212.4520651,60,308.7322213,57.09577144,34.66755375,27.21773855,,,,
17,471,220.9264927,60,339.851232,53.90086833,34.49427525,38.83373102,,,,
18,481,243.4348702,60,292.5876522,55.22137882,35.31046289,26.77020386,,,,
19,496,238.9310538,60,327.7915758,55.42604545,35.23150992,29.21734485,,,,
20,513,179.0772674,60,245.8202909,57.79344924,33.39187072,28.32366021,,,,
21,524,222.9709076,52,278.9804253,59.16431935,34.98988452,44.31629884,,,,
22,493,180.6738223,52,271.7692318,57.43182929,33.83560904,36.86842253,,,,
23,512,200.5560558,52,285.6855281,57.39594528,34.53845263,35.56727113,,,,
24,479,216.3651337,52,255.06865,53.74528004,34.9756988,42.66808415,,,,
25,520,213.6614861,52,268.7163856,56.53754796,34.31198835,35.59805636,,,,
26,514,256.3481365,52,317.6210021,59.20066248,33.83826247,28.04412922,,,,
27,497,225.2646321,52,284.4682898,53.90350742,34.86803333,26.99711977,,,,
28,472,212.6341445,52,255.3113035,54.63378495,34.80112894,33.86410552,,,,
29,511,201.3720118,52,245.7261989,56.23135267,34.11780254,25.46370974,,,,
30,504,226.7209809,52,314.0012123,58.01929251,34.9502751,24.76353462,,,,
31,509,213.0240414,60,321.4051179,57.98227053,34.75834371,41.01470312,,,,
32,504,172.7359544,60,266.45735,57.95531472,33.50434888,32.12049129,,,,
33,480,198.7606891,60,322.5276573,56.40379076,34.25696973,43.25128255,,,,
34,527,158.1798653,60,270.8716811,59.81004259,33.7127209,30.69034597,,,,
35,454,202.6772086,60,340.0299365,49.12357335,33.64582222,25.43071935,,,,
36,486,206.5843299,60,297.9781977,56.25686262,34.63768558,24.22421976,,,,
